EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 10-05-2011
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://eca.knmi.nl

01-05 STAID       : Station identifier
07-46 STATIONNAME : Station Name
48-87 COUNTRYNAME : Country Name
89-97 LAT         : Latitude in degrees:minutes:seconds (+:North, -:South)
99-109 LON        : Longitude in degrees:minutes:seconds (+:East, -:West)
111-115 HGT       : Station elevation in meters 

STAID,STATIONNAME                             ,COUNTRYNAME                             ,LAT      ,LON       ,HGT
218  ,BAIA MARE                               ,ROMANIA                                 ,+47:40:00,+023:30:00, 216
219  ,BUCURESTI-BANEASA                       ,ROMANIA                                 ,+44:31:00,+026:04:59,  90
220  ,BUZAU                                   ,ROMANIA                                 ,+45:07:59,+026:51:00,  97
221  ,CALARASI                                ,ROMANIA                                 ,+44:12:00,+027:19:59,  19
222  ,CLUJ NAPOCA                             ,ROMANIA                                 ,+46:46:59,+023:34:00, 410
223  ,DROBETA TURNU SEVERIN                   ,ROMANIA                                 ,+44:37:59,+022:37:59,  77
224  ,TG JIU                                  ,ROMANIA                                 ,+45:01:59,+023:16:00, 203
225  ,TURNU MAGURELE                          ,ROMANIA                                 ,+43:45:00,+024:52:59,  31
226  ,VARFU OMUL                              ,ROMANIA                                 ,+45:27:00,+025:27:00,2504
227  ,HURBANOVO                               ,SLOVAKIA                                ,+47:52:00,+018:10:59, 115
228  ,LJUBLJANA BEZIGRAD                      ,SLOVENIA                                ,+46:03:56,+014:31:01, 299
229  ,BADAJOZ TALAVERA                        ,SPAIN                                   ,+38:52:59,-006:49:45, 185
230  ,MADRID - RETIRO                         ,SPAIN                                   ,+40:24:42,-003:40:41, 667
231  ,MALAGA AEROPUERTO                       ,SPAIN                                   ,+36:40:00,-004:29:17,   7
232  ,NAVACERRADA                             ,SPAIN                                   ,+40:46:50,-004:00:37,1894
233  ,SALAMANCA AEROPUERTO                    ,SPAIN                                   ,+40:57:33,-005:29:53, 790
234  ,SAN SEBASTIAN - IGUELDO                 ,SPAIN                                   ,+43:18:27,-002:02:21, 251
235  ,TORREVIEJA                              ,SPAIN                                   ,+37:58:37,-000:42:38,   1
236  ,TORTOSA - OBSERVATORIO DEL EBRO         ,SPAIN                                   ,+40:49:14,+000:29:29,  44
237  ,VALENCIA                                ,SPAIN                                   ,+39:28:50,-000:21:59,  11
238  ,ZARAGOZA AEROPUERTO                     ,SPAIN                                   ,+41:39:42,-001:00:29, 247
239  ,BASEL BINNINGEN                         ,SWITZERLAND                             ,+47:33:00,+007:34:59, 316
240  ,GENEVE COINTRIN                         ,SWITZERLAND                             ,+46:15:00,+006:07:59, 413
241  ,GENEVE OBSERVATOIRE                     ,SWITZERLAND                             ,+46:12:00,+006:09:00, 405
242  ,LUGANO                                  ,SWITZERLAND                             ,+46:00:00,+008:58:00, 300
243  ,SAENTIS                                 ,SWITZERLAND                             ,+47:15:00,+009:21:00,2502
244  ,ZUERICH/FLUNTERN                        ,SWITZERLAND                             ,+47:22:59,+008:34:00, 556
245  ,ADANA                                   ,TURKEY                                  ,+37:03:00,+035:21:00,  27
246  ,ANKARA                                  ,TURKEY                                  ,+39:57:00,+032:52:59, 891
247  ,ERZURUM                                 ,TURKEY                                  ,+39:54:00,+041:16:59,1869
248  ,ISTANBUL                                ,TURKEY                                  ,+40:58:00,+029:04:59,  33
249  ,IZMIR                                   ,TURKEY                                  ,+38:24:00,+027:04:59,  29
250  ,TRABZON                                 ,TURKEY                                  ,+40:59:54,+039:45:39,  30
251  ,FEODOSIIA                               ,UKRAINE                                 ,+45:01:59,+035:22:59,  22
252  ,KIEV                                    ,UKRAINE                                 ,+50:24:00,+030:31:59, 166
253  ,LUGANSK                                 ,UKRAINE                                 ,+48:34:00,+039:15:00,  59
254  ,NIKOLAEV                                ,UKRAINE                                 ,+46:58:00,+031:58:59,  49
255  ,POLTAVA                                 ,UKRAINE                                 ,+49:36:00,+034:33:59, 160
257  ,CET CENTRAL ENGLAND                     ,UNITED KINGDOM                          ,+52:25:12,-001:49:48,  78
262  ,NIS                                     ,SERBIA                                  ,+43:19:59,+021:54:00, 201
263  ,BELGRADE (OBSERVATORY)                  ,SERBIA                                  ,+44:48:00,+020:28:00, 132
264  ,OKSOEY FYR                              ,NORWAY                                  ,+58:04:00,+008:03:02,   9
265  ,BERGEN FLORIDA                          ,NORWAY                                  ,+60:22:59,+005:19:59,  12
266  ,BODOE VI                                ,NORWAY                                  ,+67:16:01,+014:21:32,  11
268  ,VORU                                    ,ESTONIA                                 ,+57:50:45,+027:01:09,  82
269  ,VILSANDI                                ,ESTONIA                                 ,+58:22:59,+021:48:55,   6
270  ,PRILEP                                  ,REPUBLIC OF MACEDONIA                   ,+41:19:59,+021:34:00, 673
271  ,ARMAGH                                  ,UNITED KINGDOM                          ,+54:21:00,-006:39:00,  62
272  ,ESKDALEMUIR                             ,UNITED KINGDOM                          ,+55:19:00,-003:12:00, 242
273  ,HULL                                    ,UNITED KINGDOM                          ,+53:46:00,-000:22:00,   2
274  ,OXFORD                                  ,UNITED KINGDOM                          ,+51:46:00,-001:16:00,  63
275  ,WICK                                    ,UNITED KINGDOM                          ,+58:27:00,-003:04:59,  36
276  ,SARAJEVO                                ,BOSNIA AND HERZEGOVINA                  ,+43:52:00,+018:25:59, 630
277  ,TIRANA                                  ,ALBANIA                                 ,+41:19:59,+019:46:59,  89
278  ,ALGER-DAR EL BEIDA                      ,ALGERIA                                 ,+36:43:00,+003:15:00,  24
289  ,YEREVAN                                 ,ARMENIA                                 ,+40:12:00,+044:30:00,1113
298  ,ILULISSAT                               ,GREENLAND [DENMARK]                     ,+69:13:12,-051:06:00,  39
299  ,TASIILAQ                                ,GREENLAND [DENMARK]                     ,+65:35:59,-037:37:59,  50
300  ,ILULISSAT (JAKOBSHAVN)                  ,GREENLAND [DENMARK]                     ,+69:13:00,-051:03:00,  39
301  ,TASIILAQ (ANGMAGSALIK)                  ,GREENLAND [DENMARK]                     ,+65:35:59,-037:37:59,  50
303  ,VESTERVIG-1                             ,DENMARK                                 ,+56:46:00,+008:19:00,  18
304  ,NORDBY (FANO)-1                         ,DENMARK                                 ,+55:27:00,+008:24:00,   4
305  ,TRANEBJERG OST-1                        ,DENMARK                                 ,+55:49:59,+010:37:00,  18
306  ,ILULISSAT MITTARFIA                     ,GREENLAND [DENMARK]                     ,+69:13:59,-051:04:00,  29
309  ,ALICANTE EL ALTET                       ,SPAIN                                   ,+38:16:58,-000:34:14,  43
311  ,EL-GOLEA                                ,ALGERIA                                 ,+30:34:00,+002:52:00, 397
312  ,IN-AMENAS                               ,ALGERIA                                 ,+28:03:00,+009:37:59, 561
313  ,TAMANRASSET                             ,ALGERIA                                 ,+22:48:00,+005:25:59,1362
314  ,MERSA MATRUH                            ,EGYPT                                   ,+31:19:59,+027:13:00,  25
315  ,ASSWAN                                  ,EGYPT                                   ,+23:58:00,+032:46:59, 200
316  ,SIWA                                    ,EGYPT                                   ,+29:12:00,+025:19:00, -15
317  ,BAHARIA                                 ,EGYPT                                   ,+28:19:59,+028:54:00, 127
318  ,DAKHLA                                  ,EGYPT                                   ,+25:28:59,+029:00:00, 107
319  ,HURGUADA                                ,EGYPT                                   ,+27:09:00,+033:43:00,  16
320  ,BJELASNICA                              ,BOSNIA AND HERZEGOVINA                  ,+44:04:00,+018:16:00,2067
321  ,TARTU                                   ,ESTONIA                                 ,+58:18:00,+026:43:59,  59
322  ,RENNES                                  ,FRANCE                                  ,+48:04:00,-001:43:59,  36
323  ,STRASBOURG-ENTZHEIM                     ,FRANCE                                  ,+48:33:00,+007:37:59, 149
324  ,LINDENBERG                              ,GERMANY                                 ,+52:12:34,+014:07:13,  98
325  ,GAVAR                                   ,ARMENIA                                 ,+40:21:00,+045:07:59,1961
